PATH,METHODS
/dongle/devices/{id}/delete_denied_key/,POST
/dongle/devices/{id}/execute/,POST
/dongle/devices/{id}/execute_raw/,POST
/dongle/devices/{id}/explicit_permissions/,GET
/dongle/devices/{id}/factory_reset/,POST
/dongle/devices/{id}/regenerate_token/,POST
/dongle/devices/{id}/schedule_update/,POST
/dongle/devices/{id}/wake/,POST
/dongle/engines/,"GET, POST"
/dongle/engines/by_name/{name}/,"GET, PUT, PATCH"
/dongle/engines/meta/,GET
/dongle/engines/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/engines/{id}/render_settings_preview/,GET
/dongle/environment_variables/,"GET, POST"
/dongle/environment_variables/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/export/export_csv/,GET
/dongle/geofences/,"GET, POST"
/dongle/geofences/get_all_geofences/,GET
/dongle/geofences/templated/,GET
/dongle/geofences/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/hooks/,"GET, POST"
/dongle/hooks/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/jobs/,"GET, POST"
/dongle/jobs/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/mini/geofences/,"GET, POST"
/dongle/mini/geofences/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/modules/,"GET, POST"
/dongle/modules/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/pending_syncs/,GET
/dongle/pending_syncs/{id}/,DELETE
/dongle/reactors/,"GET, POST"
/dongle/reactors/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/settings/,"GET, POST"
/dongle/settings/schema/,GET
/dongle/state_runs/,GET
/dongle/sync_results/,GET
/dongle/tags/,GET
/dongle/templates/,"GET, POST"
/dongle/templates/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/templates/{id}/apply/,POST
/dongle/templates/{id}/apply_async/,POST
/dongle/templates/{id}/apply_explicit/,POST
/dongle/templates/{id}/apply_explicit_async/,POST
/dongle/templates/{id}/duplicate/,POST
/dongle/templates/{id}/unassociate_devices/,POST
/dongle/templates/{template_pk}/can_logging/channels/,GET
/dongle/templates/{template_pk}/devices/,GET
/dongle/update_logs/,GET
/dongle/update_logs/{id}/,GET
/dongle/workers/,"GET, POST"
/dongle/workers/{id}/,"GET, PUT, PATCH, DELETE"
/dongle/{unit_id}/device/refresh_pillar/,POST
/dongle/{unit_id}/execute/,POST
/dongle/{unit_id}/execute_raw/,POST
/dongle/{unit_id}/obd/bus/{bus_id}/can/db/,GET
/dongle/{unit_id}/obd/commands/,GET
/dongle/{unit_id}/obd/dtc/,GET
/dongle/{unit_id}/obd/dtc/clear/,POST
/dongle/{unit_id}/obd/query/{command}/,POST
/dongle/{unit_id}/retrieve_job/{jid}/,GET
/dongle/{unit_id}/salt/engines/,GET
/dongle/{unit_id}/salt/geofence/,GET
/dongle/{unit_id}/salt/schedule/,GET
/fleet/alerts/,GET
/fleet/alerts/choices/,GET
/fleet/alerts/dismiss/,POST
/fleet/alerts/resolve/,POST
/fleet/alerts/summary/,GET
/fleet/alerts/{id}/dismiss/,POST
/fleet/alerts/{id}/resolve/,POST
/fleet/geofences/,"GET, POST"
/fleet/geofences/{fleetgeofence_pk}/vehicle-groups/,GET
/fleet/geofences/{fleetgeofence_pk}/vehicle-groups/modify/,POST
/fleet/geofences/{fleetgeofence_pk}/vehicles/,GET
/fleet/geofences/{fleetgeofence_pk}/vehicles/modify/,POST
/fleet/geofences/{id}/,"GET, PUT, PATCH, DELETE"
/fleet/locations/,"GET, POST"
/fleet/locations/{id}/,"GET, PUT, PATCH, DELETE"
/fleet/notification_channels/,"GET, POST"
/fleet/notification_channels/{id}/,"PUT, PATCH, DELETE"
/fleet/notification_channels/{id}/test_notification_channel/,GET
/fleet/notification_types/,GET
/fleet/templates/,"GET, POST"
/fleet/templates/{id}/,"GET, PUT, PATCH, DELETE"
/fleet/templates/{id}/apply/,POST
/fleet/templates/{id}/apply_async/,POST
/fleet/templates/{id}/apply_explicit/,POST
/fleet/templates/{id}/apply_explicit_async/,POST
/fleet/templates/{id}/duplicate/,POST
/fleet/templates/{id}/unassociate_devices/,POST
/fleet/vehicle-groups-list/,GET
/fleet/vehicle_fleet_states/,"GET, POST"
/fleet/vehicle_fleet_states/{id}/,"GET, PUT, PATCH, DELETE"
/fleet/vehicle_states/,"GET, POST"
/fleet/vehicle_states/{id}/,"GET, PUT, PATCH, DELETE"
/fleet/vehicles-list/,GET
/fleet/vehicles/,"GET, POST"
/fleet/vehicles/archived/,GET
/fleet/vehicles/assign_users/,POST
/fleet/vehicles/create_default_fleet_states/,POST
/fleet/vehicles/create_default_vehicle_states/,POST
/fleet/vehicles/fleet_states/,GET
/fleet/vehicles/import_batch_edit/,POST
/fleet/vehicles/import_csv/,POST
/fleet/vehicles/states/,GET
/fleet/vehicles/{id}/,"GET, PUT, PATCH, DELETE"
/fleet/vehicles/{id}/fleet_states/,GET
/fleet/vehicles/{id}/rewards/,GET
/fleet/vehicles/{id}/states/,GET
/fleet/vehicles/{vehicle_pk}/alert_summary/,GET
/fleet/vehicles/{vehicle_pk}/alerts/,GET
/fleet/vehicles/{vehicle_pk}/alerts/choices/,GET
/fleet/vehicles/{vehicle_pk}/alerts/dismiss/,POST
/fleet/vehicles/{vehicle_pk}/alerts/resolve/,POST
/fleet/vehicles/{vehicle_pk}/alerts/summary/,GET
/fleet/vehicles/{vehicle_pk}/alerts/{id}/dismiss/,POST
